DepartmentId;DepartmentName
D001;Yönetim&İcra Kurulu
D101;Bilgi Teknolojileri
D102;Boyner
D103;CRM
D104;Depo Lojistik Dağıtım Merkezi
D105;Destek
D106;Dış Ticaret
D107;E Ticaret
D108;E-Ticaret ve Omnichannel
D109;İç Denetim
D110;İdari İşler
D111;İnsan Kaynakları
D112;İş Geliştirme
D113;Mağazalar
D114;Mali İşler
D115;Pazarlama
D116;Pazarlama ve Görsel Sunum
D117;Perakende Satış
D118;Proje Yönetimi ve İş Analizi
D119;Satın Alma
D120;Tedarik Zinciri
D121;Ticari
D122;Toptan Satış
D123;Ürün İnceleme
D124;Ürün Yönetimi
D125;Yönetim Destek
