LocationId;LocationName
100;MERKEZ
101;ADANA M1
102;ADANA OPTIMUM
103;ANK ANKAMALL
104;ANK CEPA
105;ANK KENTPARK
106;ANK METROMALL
107;ANK NATAVEGA
108;ANK OPTIMUM
109;ANT ALANYA
110;ANT LAND OF LEGENDS
111;ANT MARKA
112;ANT MOA
113;ANT TERRACITY
114;BODRUM MIDTOWN
115;BURSA DOWNTOWN
116;BURSA KORUPARK
117;BURSA MARKA
118;ÇAN 17 BURDA
119;ESK ESPARK
120;FORUM KAYSERİ
121;GAZIANTEP SANKOPARK
122;IST AKASYA
123;IST BUYAKA
124;IST BUYAKA KIDS
125;IST CEVAHIR
126;IST FORUM
127;IST FORUM KİDS
128;IST GALATAPORT
129;IST GRANDPERA
130;IST HILLTOWN
131;IST ISTIKLAL
132;IST ISTINYEPARK
133;IST KADIKOY
134;IST MARMARA FORUM
135;IST MARMARA FORUM KIDS
136;IST MARMARAPARK
137;IST METROPOL
138;IST MOI
139;IST OLIVIUM
140;IST OPTIMUM
141;IST PIAZZA
142;IST SASKINBAKKAL
143;IST SIRKECI
144;IST TEMA
145;IST VENEZIA
146;IST VIAPORT
147;IST ZORLU
148;IZM FORUM BORNOVA
149;IZM ISTINYE PARK
150;IZMIR AGORA
151;IZMIR HILLTOWN
152;IZMIR MAVIBAHCE
153;IZMIR OPTIMUM
154;IZMIR WESTPARK
155;IZMIT 41 BURDA
156;IZMIT OUTLET
157;KAHRAMANMARAŞ
158;KONYA KENT PLAZA
159;MALATYA PARK AVM
160;MERSIN FORUM
161;PALM CITY
162;SAMSUN PIAZZA
163;TRABZON FORUM
200;MERKEZ
201;ANKARA FORUM MARLIN
202;IST HILLTOWN ASICS
203;IST MOI ASICS
204;IZMIR ISTINYE ASICS
205;KARŞIYAKA HILLTOWN ASICS
206;STARCITY OUTLET MARLIN
207;VIAPORT MARINA MARLIN
208;VIAPORT MARLIN OUTLET
209;ZORLU ASICS
301;IST MOI KLAUD
302;MALTEPE PIAZZA KLAUD
400;Merkez Ofis
500;Merkez Ofis
