PositionId;PositionName;LocationId;BrandId;DepartmentId;LevelId
P001;Yönetim Kurulu Başkanı;100;1;D001;L001
P101;Ağ ve Bilgi Güvenliği Uzmanı;100;1;D101;L113
P102;Ağ ve Güvenlik Yöneticisi;100;1;D101;L116
P103;Asics Kıdemli Ürün Müdürü;200;2;D124;L106
P104;Back Office Kıdemli Uzmanı;100;1;D103;L107
P105;Barista;100;1;D110;L103
P106;Bölge Görsel Düzenleme Uzmanı;100;1;D115;L113
P107;Bölge Müdürü;100;1;D117;L116
P108;CFO;100;1;D114;L101
P109;CHRO;100;1;D111;L101
P110;COO;100;1;D120;L101
P111;CRM Kampanya ve İletişim Uzman Yardımcısı;100;1;D103;L115
P112;CRM Kampanya ve İletişim Uzmanı;100;1;D103;L113
P113;CRM Kampanya ve İletişim Yöneticisi;100;1;D103;L116
P114;CRM Müdürü;100;1;D103;L110
P115;CRM Veri Analitiği Yöneticisi;100;1;D103;L116
P116;Çağrı Merkezi Müşteri İletişim Uzman Yardımcısı;100;1;D103;L115
P117;Çağrı Merkezi Müşteri İletişim Uzmanı;100;1;D103;L113
P118;Çağrı Merkezi Yöneticisi;100;1;D103;L116
P119;Depo Görevlisi;100;1;D104;L109
P119;Depo Görevlisi;100;1;D113;L102
P119;Depo Görevlisi;101;1;D113;L102
P119;Depo Görevlisi;103;1;D113;L102
P119;Depo Görevlisi;104;1;D113;L102
P119;Depo Görevlisi;112;1;D113;L102
P119;Depo Görevlisi;113;1;D113;L102
P119;Depo Görevlisi;114;1;D113;L102
P119;Depo Görevlisi;116;1;D113;L102
P119;Depo Görevlisi;117;1;D113;L102
P119;Depo Görevlisi;122;1;D113;L102
P119;Depo Görevlisi;123;1;D113;L102
P119;Depo Görevlisi;125;1;D113;L102
P119;Depo Görevlisi;126;1;D113;L102
P119;Depo Görevlisi;128;1;D113;L102
P119;Depo Görevlisi;129;1;D113;L102
P119;Depo Görevlisi;130;1;D113;L102
P119;Depo Görevlisi;131;1;D113;L102
P119;Depo Görevlisi;133;1;D113;L102
P119;Depo Görevlisi;134;1;D113;L102
P119;Depo Görevlisi;136;1;D113;L102
P119;Depo Görevlisi;137;1;D113;L102
P119;Depo Görevlisi;138;1;D113;L102
P119;Depo Görevlisi;141;1;D113;L102
P119;Depo Görevlisi;142;1;D113;L102
P119;Depo Görevlisi;143;1;D113;L102
P119;Depo Görevlisi;144;1;D113;L102
P119;Depo Görevlisi;145;1;D113;L102
P119;Depo Görevlisi;146;1;D113;L102
P119;Depo Görevlisi;148;1;D113;L102
P119;Depo Görevlisi;149;1;D113;L102
P119;Depo Görevlisi;151;1;D113;L102
P119;Depo Görevlisi;153;1;D113;L102
P119;Depo Görevlisi;162;1;D113;L102
P119;Depo Görevlisi;163;1;D113;L102
P119;Depo Görevlisi;201;2;D113;L102
P119;Depo Görevlisi;207;2;D113;L102
P119;Depo Görevlisi;209;2;D113;L102
P120;Depo Operasyon Müdürü;100;1;D104;L110
P121;Depo Operasyon Yöneticisi;100;1;D104;L116
P122;Depo Takım Lideri;100;1;D104;L109
P123;Depo Uzmanı;100;1;D113;L114
P123;Depo Uzmanı;129;1;D113;L114
P123;Depo Uzmanı;136;1;D113;L114
P123;Depo Uzmanı;147;1;D113;L114
P123;Depo Uzmanı;160;1;D113;L114
P124;Destek Personeli;100;1;D105;L103
P124;Destek Personeli;204;2;D113;L103
P124;Destek Personeli;205;2;D113;L103
P125;Dış Ticaret Operasyon Yöneticisi;100;1;D106;L116
P126;Dış Ticaret Uzman Yardımcısı;100;1;D106;L115
P127;Dış Ticaret Uzmanı;100;1;D106;L113
P128;Dış Ticaret Yöneticisi;100;1;D106;L116
P129;Dijital Deneyim Müdürü;100;1;D108;L110
P130;Dijital Eğitim Yöneticisi;100;1;D111;L116
P131;Dijital Pazarlama Uzman Yardımcısı;100;1;D108;L115
P132;E Ticaret Operasyon Müdürü;100;1;D108;L110
P133;E- Ticaret Ürün Geliştirme Müdürü;100;1;D108;L110
P134;ERP Uzmanı;100;1;D101;L113
P135;E-Ticaret İş Analizi Uzmanı;100;1;D108;L113
P136;E-Ticaret Müdürü;200;2;D107;L110
P137;E-Ticaret Uzman Yardımcısı;100;1;D108;L115
P138;E-Ticaret Ürün ve Satış Müdürü;100;1;D108;L110
P139;E-Ticaret Ürün ve Satış Uzmanı;200;2;D107;L113
P140;E-Ticaret Ürün ve Satış Yöneticisi;100;1;D108;L116
P141;E-Ticaret ve Omnichannel Direktörü;100;1;D108;L104
P142;Finans Uzman Yardımcısı;100;1;D114;L115
P143;Finans Uzmanı;100;1;D114;L113
P144;Finans Yöneticisi;100;1;D114;L116
P145;Genel Müdür - Asics;200;2;D121;L105
P146;Genel Müdür - Skechers;100;1;D121;L105
P147;Genel Müdür Asistanı;100;1;D125;L116
P148;Genel Müdür Şoförü;100;1;D125;L113
P149;Grafik Tasarım Uzmanı;100;1;D108;L113
P149;Grafik Tasarım Uzmanı;200;2;D116;L113
P150;Grafik Tasarım Yöneticisi;100;1;D115;L116
P151;Growth Manager;100;1;D108;L110
P152;İç Denetim Yöneticisi;100;1;D109;L116
P153;İdari İşler Destek;100;1;D110;L103
P153;İdari İşler Destek;200;2;D110;L103
P154;İdari İşler Yöneticisi;100;1;D110;L116
P155;İnsan Kaynakları Uzman Yardımcısı;100;1;D111;L115
P156;İnsan Kaynakları Uzmanı;100;1;D111;L113
P157;İş Analist Yöneticisi;100;1;D118;L116
P158;İş Analizi Uzman Yardımcısı;100;1;D118;L115
P159;İş Analizi Uzmanı;100;1;D118;L113
P160;İş Analizi ve Proje Yöneticisi;100;1;D118;L116
P161;İş Zekası Uzman Yardımcısı;100;1;D101;L115
P162;Kalite Kıdemli Uzmanı;100;1;D103;L107
P163;Kasa Uzmanı;100;1;D113;L114
P163;Kasa Uzmanı;126;1;D113;L114
P163;Kasa Uzmanı;146;1;D113;L114
P164;Kasiyer;100;1;D113;L102
P164;Kasiyer;101;1;D113;L102
P164;Kasiyer;103;1;D113;L102
P164;Kasiyer;104;1;D113;L102
P164;Kasiyer;119;1;D113;L102
P164;Kasiyer;126;1;D113;L102
P164;Kasiyer;129;1;D113;L102
P164;Kasiyer;132;1;D113;L102
P164;Kasiyer;134;1;D113;L102
P164;Kasiyer;136;1;D113;L102
P164;Kasiyer;138;1;D113;L102
P164;Kasiyer;140;1;D113;L102
P164;Kasiyer;149;1;D113;L102
P164;Kasiyer;151;1;D113;L102
P164;Kasiyer;160;1;D113;L102
P164;Kasiyer;201;2;D113;L102
P164;Kasiyer;207;2;D113;L102
P164;Kasiyer;208;2;D113;L102
P165;Kayıp Önleme Uzmanı;100;1;D109;L113
